name,address,lat,lng,id,place_id,price_level
Golosi Pizza & Gelato,"1304 2nd Avenue, New York",40.766499,-73.959805,9dce19402242f7a73784914750a308ddc220e195,ChIJz2Qx_-lYwokRDynrwFA4bKU,2
Via Quadronno,"25 East 73rd Street, New York",40.7727029,-73.9651884,58187025ae491f935710d8aea31097394cb79a9b,ChIJ-ZWIqZRYwokRQ9ZhSMN8FkI,2
Nespresso Boutique,"761 Madison Avenue, New York",40.7676416,-73.9682202,717a58096d532dda9b54ba3f22d4a4ccf4631043,ChIJjVzUf-5YwokR1WLWdCd915o,2
Match 65 Brasserie,"29 East 65th Street, New York",40.7672691,-73.9682234,a3b759817dce33c66d456ddced2a0047504849bc,ChIJraJ9su5YwokR7iKyqGteG58,2
Le Pain Quotidien,"861 Lexington Avenue, New York",40.7657929,-73.9652969,5978d5ebd2da15fbbb318a4c0e69210fc90afb7b,ChIJb5eYXuhYwokRyPOXnS_uHjo,2
Pastafina Pizzeria,"876 Lexington Avenue, New York",40.766354,-73.965442,07afdaaa64f6b2189635a9b3ee656076b384ee3c,ChIJKeZ6jQJZwokRiPAQoIoZpaw,2
eat here now,"839 Lexington Avenue, New York",40.7650924,-73.9658992,80ab687f070e90684ffc810690d8f200d0143371,ChIJGQSS1u5YwokRN4iN4NSFpuc,2
Donohue's Steak House,"845 Lexington Avenue, New York",40.7654475,-73.9655581,e21187449e902e6ea7e67e4ce6cf64594c904914,ChIJ3SY60u5YwokRU9T-obR5cXY,2
Alice's Tea Cup - Chapter II,"156 East 64th Street, New York",40.7651325,-73.9658045,a9bc3975ae5c31d9eb8a47cec3c2f1a863705a96,ChIJDwRC1u5YwokRsXOqrV0Atdo,2
Tony's Di Napoli,"1081 3rd Avenue, New York",40.7643584,-73.964245,86629ad94aad13cce76519c471662b687e8f2f8a,ChIJ9-ey3ehYwokRWPZl-y_GRBk,2
Grazie,"26 East 84th Street, New York",40.779508,-73.960077,bc4571eeb818931fb07b61aa4d04d2c5f1af7e95,ChIJi5Fy0JdYwokRbzQZfTwLjcQ,3
Giovanni Venticinque,"25 East 83rd Street, New York",40.77917,-73.960502,fd018542fa785e0e1a108a1cf47be0b18372707e,ChIJf0-vzJdYwokRRv-V1ZD0fI8,3
Tevere,"155 East 84th Street, New York",40.7780842,-73.9559598,dd75230956376b4d4d637e980e7a890409c4be46,ChIJScJGV7xYwokRMO6VinRO7nc,3
Nicola's Restaurant,"United States, 146 East 84th Street, New York",40.777891,-73.956211,a819823c41ac335c6389034889ffeff4ebe240c9,ChIJiVKOUbxYwokRIvJ_tXSlntA,3
Toloache,"166 East 82nd Street, New York",40.7764631,-73.9566962,d8e0d36c8e2c79ad02ba1260aaab06eaf01647c6,ChIJPcgi0r1YwokRqYsA0cxFcOE,3
Campagna Quattro Gatti,"205 East 81st Street, New York",40.7755911,-73.9560056,36329b0be123af7cf682d3b1f8d2cd60320de5a0,ChIJexJYhL5YwokRcmemT3X_R3s,3
The Simone,"151 East 82nd Street, New York",40.7768459,-73.9569627,dfe282b39f19646a00e3af59dec9d03c522c8427,ChIJgYdbzr1YwokRueRDWsZY_8w,3
Due,"1396 3rd Avenue #1, New York",40.7746927,-73.9573164,d0b8df0eafa3cbe730a56d96c6c198b91b36b7da,ChIJPxCuXL5YwokR4a1zLHSjau8,3
Parma,"1404 3rd Avenue, New York",40.7748775,-73.9570937,65e5c9e8219000711af73db8b320008e662b6676,ChIJfUbyZ75YwokRMi96wHTiLBA,3
Eli's Table,"1413 3rd Avenue, New York",40.7750558,-73.9564455,2bf41aee4efdf924335106640fa977e4b5df7af6,ChIJ641tYr5YwokR2FJhVvTFCtc,3
Candle 79,"154 East 79th Street, New York",40.7746329,-73.9587268,f87b2ed10e924f176399a19cc8d65a692da3b46c,ChIJC0HSOr5YwokRtpTaE2vSi-4,3
Il Riccio,"152 East 79th Street #5, New York",40.7746881,-73.9587735,5d81dd3cff37c9d85dffbbabc8a7e6df8db34bb6,ChIJx5MpJb5YwokRwTXL_MIRB1Q,3
Monte-Carlo NYC,"181 East 78th Street, New York",40.7738764,-73.9581195,954c3e4bb2259266f688efdf729bf3177b5b40a0,ChIJ7x8YNb5YwokRwIKI--cXflY,3
Atlantic Grill,"1341 3rd Avenue, New York",40.7725198,-73.9582986,3e7585d020be33b86cac0b4796a0037e24374f4c,ChIJdTIpwr9YwokRHCALb7RuaNk,3
Sant Ambroeus,"1000 Madison Avenue, New York",40.7754313,-73.9629972,33ce01d7afd9387250a496f4db0ba53d7f830f91,ChIJL-_3K5RYwokRzKguUK0MB-w,3
